Experimento,Distancia[cm],Luxes ,Kohms 
1,10,3630,1.33
1,15,3360,1.46
1,20,2900,1.62
1,25,2200,2.07
1,30,1950,2.13
1,35,1665,2.39
1,40,1420,2.69
1,45,1215,2.88
1,50,1048,3.3
1,55,960,3.4
1,60,860,3.75
1,65,760,4.09
1,70,704,4.3
1,75,644,4.56
1,80,575,5.06
1,85,530,5.3
1,90,498,5.65
1,95,450,6
2,10,3625,1
2,15,3000,1.2
2,20,2600,1.4
2,25,2210,1.62
2,30,1870,1.9
2,35,1600,1.98
2,40,1280,2.9
2,45,1200,2.87
2,50,1000,3.2
2,55,953,3.5
2,60,855,3.78
2,65,773,4.05
2,70,700,4.35
2,75,620,4.95
2,80,581,5.1
2,85,523,5.36
2,90,443,6.1
2,95,406,7.1
3,10,3100,1.4
3,15,3070,1.36
3,20,2610,1.62
3,25,2280,1.86
3,30,1875,2.1
3,35,1660,2.38
3,40,1425,2.62
3,45,1240,2.85
3,50,1084,3.2
3,55,978,3.4
3,60,870,3.85
3,65,792,4
3,70,716,4.4
3,75,650,4.6
3,80,515,5.5
3,85,520,5.6
3,90,462,6
3,95,433,6.27
4,10,3000,1.45
4,15,2750,1.4
4,20,2510,1.64
4,25,2170,1.85
4,30,1842,2.1
4,35,1618,2.4
4,40,1400,2.63
4,45,1210,2.8
4,50,1078,3.21
4,55,954,3.46
4,60,800,4.05
4,65,420,4.39
4,70,660,4.48
4,75,595,4.84
4,80,578,5.1
4,85,480,5.68
4,90,456,6.14
4,95,430,5.4
5,10,3300,1.33
5,15,2650,1.59
5,20,2200,1.8
5,25,1940,2.03
5,30,1700,2.18
5,35,1520,2.9
5,40,1380,3.24
5,45,1220,3.44
5,50,1120,4.02
5,55,890,3.79
5,60,870,3.75
5,65,776,4.11
5,70,705,4.35
5,75,633,4.99
5,80,581,5.03
5,85,513,5.55
5,90,461,5.95
5,95,435,6.48
6,10,3000,1.3
6,15,2750,1.44
6,20,2480,1.71
6,25,2080,1.99
6,30,1767,2.25
6,35,1500,2.5
6,40,1318,2.94
6,45,1145,3
6,50,100,3.35
6,55,900,3.66
6,60,820,3.9
6,65,750,4.1
6,70,690,4.55
6,75,580,5.08
6,80,550,5.25
6,85,460,6
6,90,440,6.1
6,95,430,6.4
